#Years    WideImaging%    DeepImaging%    Prism%    NearbySNe    WideImagingFilters    DeepImagingFilters    WideImagingCadence    DeepImagingCadence    PrismCadence    RubinDDF    ZWide    ZDeep    WideImagingDeg^2    DeepImagingDeg^2    DispersionModel    MeanModelTraining    DistMod.fits                      
0.500     000             000             36        00800        RRZYJH                ZZRYJHF               10                    10                    5               False       0.7      1.1      0                   19                  NIRLower           True                 all_matrices/cov_mat_0092.fits    
0.500     000             000             36        00800        RRZYJH                ZZRYJHF               10                    10                    5               False       0.7      1.1      0                   19                  NIRLower           False                all_matrices/cov_mat_0093.fits    
0.500     000             000             36        00800        RRZYJH                ZZRYJHF               10                    10                    5               True        0.7      1.1      0                   19                  TwinsLower         True                 all_matrices/cov_mat_0094.fits    
0.500     000             000             36        00800        RRZYJH                ZZRYJHF               10                    10                    5               True        0.7      1.1      0                   19                  NIRLower           True                 all_matrices/cov_mat_0095.fits    
0.500     000             000             36        00800        RRZYJH                ZZRYJHF               10                    10                    5               True        0.7      1.1      0                   19                  NIRLower           True                 all_matrices/cov_mat_0096.fits    
0.500     000             000             36        00800        RRZYJH                ZZRYJHF               10                    10                    5               True        0.7      1.1      0                   19                  NIRLower           False                all_matrices/cov_mat_0097.fits    
0.500     000             000             34        00800        RRZJH                 YYJHF                 04                    10                    5               False       0.5      1.5      0                   14                  TwinsLower         True                 all_matrices/cov_mat_0098.fits    
0.500     000             000             34        00800        RRZJH                 YYJHF                 04                    10                    5               False       0.5      1.5      0                   14                  NIRLower           True                 all_matrices/cov_mat_0099.fits    
0.500     000             000             34        00800        RRZJH                 YYJHF                 04                    10                    5               False       0.5      1.5      0                   14                  NIRLower           False                all_matrices/cov_mat_0100.fits    
0.500     000             000             34        00800        RRZJH                 YYJHF                 04                    10                    5               True        0.5      1.5      0                   14                  TwinsLower         True                 all_matrices/cov_mat_0101.fits    
0.500     000             000             34        00800        RRZJH                 YYJHF                 04                    10                    5               True        0.5      1.5      0                   14                  NIRLower           True                 all_matrices/cov_mat_0102.fits    
0.500     000             000             34        00800        RRZJH                 YYJHF                 04                    10                    5               True        0.5      1.5      0                   14                  NIRLower           False                all_matrices/cov_mat_0103.fits    
0.500     000             000             34        00800        RRZYJ                 RZZYJH                10                    08                    5               False       0.5      2.2      0                   14                  TwinsLower         True                 all_matrices/cov_mat_0104.fits    
0.500     000             000             34        00800        RRZYJ                 RZZYJH                10                    08                    5               False       0.5      2.2      0                   14                  NIRLower           True                 all_matrices/cov_mat_0105.fits    
0.500     000             000             34        00800        RRZYJ                 RZZYJH                10                    08                    5               False       0.5      2.2      0                   14                  NIRLower           False                all_matrices/cov_mat_0106.fits    
